單詞,TF,DF
資訊,285,183
情況,285,234
公平,285,87
傳產,285,225
股的,284,235
會議,284,208
陸續,283,239
認售,283,94
後市,283,215
之後,282,227
之上,282,228
體設,281,150
造成,281,223
甚至,279,238
快速,279,219
首季,277,168
期貨,277,202
使用,277,167
技股,276,197
高通,275,111
工作,275,177
優勢,274,216
效應,273,213
來的,273,223
體業,272,207
針對,272,220
說明,272,226
穩定,272,228
支撐,272,221
多頭,272,197
代表,272,218
旺季,271,186
英文,270,104
現在,270,194
大跌,270,187
紫光,269,66
淨利,268,163
日股,268,210
控股,268,102
將是,268,222
的台,267,225
仍有,267,230
也將,267,225
力成,266,69
無法,265,211
漲跌,265,224
投信,265,183
團隊,265,140
需要,264,203
創歷,264,177
召開,262,209
階段,261,218
台北,261,183
長期,260,211
精測,260,42
新興,260,182
新產,260,190
參與,260,182
來新,260,211
跌逾,259,139
專利,259,65
品牌,259,144
本周,258,167
大型,258,206
順利,257,215
接單,257,126
提高,255,212
拉回,255,169
年度,255,185
單季,255,160
全面,255,208
達到,254,199
幅約,254,116
還是,253,193
有限,253,175
也有,253,220
領先,251,204
股跌,251,132
歐洲,251,178
最低,251,186
結果,250,205
力道,250,216
使得,250,221
標的,249,184
提出,249,176
南亞,249,119
題材,248,196
雙方,248,133
網路,248,139
群創,247,167
年線,247,157
機構,246,199
成立,246,160
降低,245,203
開高,245,198
都是,245,202
走揚,245,193
保守,245,199
營業,244,156
成功,244,197
元件,244,152
以下,244,228
正式,243,206
自動,242,143
大學,242,114
協會,242,128
集中,241,176
狀況,241,196
標準,241,179
更多,241,198
能源,240,131
日前,240,210
工程,239,128
傳統,238,183
股在,237,204
股上,237,207
為台,237,207
央行,237,151
加碼,237,169
今早,237,106
開出,236,173
車用,236,144
股息,236,131
焦點,236,207
先前,236,204
人士,236,143
額為,235,135
解決,235,159
驅動,234,119
確定,234,195
即將,234,202
舉辦,233,179
研院,233,101
合計,233,161
高檔,232,184
資源,232,135
機械,232,131
值得,232,211
風險,231,185
的成,231,186
採用,231,150
小型,231,149
貢獻,230,187
規劃,230,162
平台,230,124
股王,229,196
將在,229,208
因應,229,198
貨量,228,154
短期,228,186
地震,228,98
調查,227,131
大選,227,149
旗下,226,183
左右,226,204
股利,225,131
空間,225,191
儘管,225,203
主管,225,135
開放,224,99
逐漸,224,197
的新,224,190
導致,224,180
將於,223,194
方案,222,143
陸資,221,91
股為,221,152
百分,220,148
歐美,220,183
模組,220,136
日開,220,162
能力,219,169
應該,219,161
面上,218,174
就業,218,123
價值,218,144
信心,218,182
格局,216,182
年全,216,166
塑化,216,174
不僅,216,193
變化,215,176
於台,215,192
委員,215,133
華電,214,168
看法,214,183
開低,213,167
結算,213,138
商機,213,147
附近,212,185
股走,212,186
年前,212,169
匯率,212,151
來自,212,183
季線,211,136
預料,210,171
重點,210,179
新政,210,119
周五,210,148
翻紅,209,155
季財,209,167
外界,209,165
再創,209,169
元的,209,170
主因,209,172
虧損,208,112
最後,208,175
場的,208,177
回升,208,173
吸引,208,169
月線,207,138
繼續,205,170
最新,205,187
上揚,205,172
獲得,203,159
控制,203,136
利多,203,184
專業,202,130
向上,202,165
股份,201,76
實境,201,110
占比,201,123
兩岸,201,113
來台,201,134
年成,200,152
安全,200,91
副總,200,158
人指,200,167
這些,199,150
觀望,199,154
修正,199,157
不如,199,174
位數,198,151
下午,198,180
電信,197,119
低於,197,157
長率,196,121
尾盤,196,148
會有,195,155
十大,195,110
傳出,195,161
金股,194,126
的重,194,172
漲停,194,136
型股,194,124
只是,194,169
公開,194,90
依舊,194,145
站上,193,159
漲勢,193,157
新的,193,153
回溫,193,159
則是,193,163
不斷,193,157
還有,192,174
股方,192,152
消息,192,159
機率,192,158
園區,192,83
電今,191,136
長張,191,179
選擇,191,164
財務,191,143
與台,191,160
普遍,191,175
將有,191,168
面對,190,146
電路,190,117
感測,190,97
媒體,190,140
群益,189,102
行政,188,122
萬口,188,141
綠能,188,102
月增,188,133
前十,188,118
預測,187,106
自己,187,119
推升,187,162
鋼鐵,186,145
決定,186,146
協助,186,123
也不,186,156
上的,186,171
不是,185,143
淡季,184,137
弱勢,184,139
季的,184,140
上季,184,116
盈餘,183,126
持平,183,157
天收,183,169
方式,182,151
食品,181,156
有助,181,163
新低,181,140
來最,181,137
走低,180,146
股開,180,145
紡織,180,149
好的,180,144
透露,179,142
變數,179,146
拉貨,179,141
南科,179,74
偏多,179,144
之下,179,157
社會,178,103
鏡頭,177,107
決議,177,120
增率,177,119
關係,176,141
逐步,176,153
的高,176,167
年以,176,147
兆元,176,112
醫療,175,120
資買,175,151
考量,175,152
新機,175,123
回檔,175,142
台塑,175,111
具有,175,147
虛擬,174,109
四大,174,148
之一,174,155
第三,173,143
特別,173,156
季減,173,117
和碩,173,110
動向,173,143
中美,173,66
要是,172,152
萬張,172,106
界先,172,60
月底,172,146
體封,171,114
帶來,171,145
用率,170,104
單月,170,133
證交,169,93
將持,169,145
人民,169,110
許多,168,136
很多,168,113
川普,168,66
下游,168,135
高的,167,153
較上,167,109
產線,167,114
產值,167,84
大法,167,106
創造,167,124
利益,167,116
值新,167,161
超越,166,130
評估,166,131
市況,166,118
低點,166,139
股台,165,156
的機,165,138
我們,165,71
的資,164,143
模式,164,105
期間,164,134
延續,164,147
要的,163,140
統一,163,131
紛紛,163,136
的主,163,148
此次,163,118
挹注,163,152
功能,163,118
都有,162,148
支持,162,122
區間,162,133
作收,162,119
電第,161,97
的一,161,142
疲弱,161,137
於今,161,149
不佳,161,135
上櫃,161,95
一定,161,132
近年,160,135
能否,160,137
注意,160,139
歷年,160,93
年新,160,130
高峰,159,136
進場,159,127
海外,159,114
廠的,159,119
年將,159,134
動下,159,142
下一,159,129
翻黑,158,121
百點,158,125
櫃買,158,92
小幅,158,135
中的,158,134
如果,157,122
天開,157,123
登場,156,138
用電,156,97
止跌,156,124
一年,156,126
資在,155,129
股大,155,137
股中,155,132
扮演,155,135
截至,155,138
多晶,155,59
另一,155,138
也可,155,137
上下,155,136
陸股,154,99
長的,154,140
相較,154,138
盤勢,154,130
波段,154,131
水泥,154,126
放大,154,131
技產,154,117
展開,154,134
多的,154,129
基礎,154,123
上午,154,134
非常,153,128
期指,153,79
擔任,153,97
持有,153,115
德國,153,117
對手,153,115
大量,153,133
釋出,152,126
的營,152,128
的影,152,134
疑慮,152,117
接近,152,125
必須,152,121
大權,152,123
在美,152,124
不變,152,120
選股,151,112
轉為,151,133
正面,151,128
利空,151,131
不同,151,124
軟體,150,80
的股,150,117
彭博,150,141
南京,150,50
升至,150,136
動台,150,138
例如,150,125
電視,149,90
用於,149,124
改善,149,122
後的,149,132
已有,149,139
來源,149,144
點之,148,124
院長,148,96
自營,148,99
的關,148,125
尺寸,148,80
在國,148,122
印度,148,61
出席,148,119
了解,148,117
高價,147,120
營商,147,99
有一,147,118
月減,147,87
方向,147,127
所以,147,113
創業,147,58
凱基,147,90
不足,147,120
一路,147,129
電的,146,116
轉換,146,96
的公,146,118
比較,146,109
掛牌,146,115
小漲,146,127
將可,146,126
原本,146,127
中一,146,129
不到,146,126
上攻,146,123
運動,145,99
轉型,145,100
要求,145,116
發行,145,94
有效,145,119
日公,145,137
改變,145,112
失守,145,118
也會,145,128
並不,145,129
認證,144,88
至今,144,123
有望,144,115
之間,144,114
美系,143,63
的中,143,131
無線,143,77
準備,143,123
於市,143,121
教育,143,69
地區,143,106
在全,143,120
在中,143,120
加速,143,111
出的,143,133
仍是,143,122
下挫,143,109
的大,142,134
排名,142,82
動作,142,125
公告,142,116
並未,142,128
電股,141,125
長林,141,116
過後,141,112
論壇,141,79
波動,141,113
每年,141,106
是一,141,120
新創,141,50
多數,141,125
公投,141,103
與矽,140,86
的認,140,83
活動,140,89
日盤,140,112
恢復,140,107
審查,140,70
不錯,140,114
雲端,139,86
線上,139,113
發現,139,106
包含,139,117
下修,139,95
這是,138,119
的經,138,107
如何,138,90
首度,137,127
電等,137,129
速度,137,98
記者,137,103
股盤,137,94
的情,137,111
理事,137,108
多空,137,112
國安,137,60
但是,137,118
之前,137,127
中鋼,137,94
重大,136,116
茂迪,136,45
系列,136,99
科學,136,77
的投,136,114
業生,136,58
月以,136,115
所有,136,114
恐將,136,103
引發,136,119
品股,136,90
只要,136,120
貿易,135,83
設立,135,98
網通,135,112
的電,135,107
在平,135,115
啟動,135,119
加入,135,112
一波,135,119
韓股,134,105
配發,134,94
趨緩,134,115
結束,134,113
業控,134,40
於第,134,116
小跌,134,114
這個,133,103
較大,133,125
生活,133,73
時代,133,96
數位,133,67
宏碁,133,64
努力,133,111
個人,133,113
估計,133,119
不能,133,114
下來,133,119
除息,132,73
降至,132,106
討論,132,106
滑落,132,99
最多,132,91
教授,132,58
年下,132,114
導入,132,95
商業,132,93
台新,132,112
反應,132,118
升級,132,93
中央,132,119
不利,132,111
走弱,131,101
效益,131,119
工具,131,65
金控,130,90
跡象,130,116
而言,130,115
經驗,130,99
的市,130,110
期的,130,116
更是,130,114
拉抬,130,105
張數,130,59
均線,130,102
回收,130,37
前的,130,119
高度,129,120
符合,129,114
盤後,129,114
漲多,129,105
月來,129,101
掌握,129,104
將會,129,104
回補,129,105
台廠,129,90
前三,129,97
人說,129,120
中最,129,124
上升,129,98
議題,128,89
結構,128,107
當天,128,119
測器,128,66
尚未,128,116
將成,128,107
外銷,128,77
周四,128,96
合約,128,68
內容,128,109
邀請,127,100
收斂,127,98
態度,127,108
地位,127,105
在今,127,122
內外,127,109
兆豐,127,108
人員,127,83
農曆,126,102
期待,126,114
採購,126,70
拖累,126,107
夥伴,126,90
跳空,125,107
走跌,125,100
資產,125,94
華為,125,39
機台,125,82
期今,125,105
日在,125,115
場上,125,117
其餘,125,122
達成,124,107
訊息,124,106
總裁,124,94
擴增,124,97
擔心,124,104
影像,124,71
年上,124,102
品的,124,109
只有,124,108
元以,124,113
亮眼,124,112
重新,123,108
進度,123,91
進口,123,60
這次,123,98
看到,123,105
建立,123,92
國民,123,48
聚焦,122,111
核心,122,92
拉高,122,101
子束,122,53
價差,122,49
也在,122,117
不大,122,112
高走,121,104
電源,121,76
發生,121,89
月的,121,97
政部,121,62
意的,121,115
年台,121,90
前一,121,104
入股,121,60
不少,121,110
體廠,120,86
較第,120,86
股昨,120,109
看待,120,111
產出,120,86
日台,120,99
幾乎,120,108
電機,119,74
調降,119,85
本週,119,68
新竹,119,70
復甦,119,89
在大,119,95
全數,119,109
世代,119,88
高於,118,108
領導,118,94
隨後,118,109
超台,118,97
財政,118,70
效能,118,87
年獲,118,91
在外,118,112
分配,118,49
兩家,118,62
光學,118,93
電在,117,105
郭台,117,41
跌停,117,78
縮小,117,106
硬體,117,78
的發,117,97
產生,117,100
熱錢,117,87
法院,117,63
數字,117,89
中市,117,87
體電,116,88
部位,116,92
通路,116,73
走強,116,101
的晶,116,93
晶矽,116,52
日的,116,100
效率,116,83
攀高,116,91
擁有,116,102
將較,116,88
單位,116,93
重量,115,104
終端,115,95
的人,115,95
會的,115,102
幾年,115,97
兩大,115,99
一季,115,80
高效,114,85
運算,114,66
立法,114,64
當時,114,78
用的,114,81
民黨,114,37
核准,114,52
是全,114,103
才能,114,103
季節,114,97
大增,114,97
升值,114,85
一代,114,85
資持,113,97
財測,113,76
計算,113,91
股有,113,104
測產,113,65
氣氛,113,98
會今,113,92
後一,113,96
南韓,113,73
內部,113,81
上月,113,85
逼近,112,104
較高,112,97
資的,112,96
的企,112,90
營建,112,90
寬鬆,112,89
大家,112,75
重視,111,87
萬片,111,70
能產,111,76
精密,111,80
權重,111,54
機市,111,81
接下,111,98
打造,111,81
高至,110,100
體的,110,93
空單,110,47
的時,110,91
為了,110,87
比例,110,87
日舉,110,102
廠台,110,107
年初,110,100
學習,110,53
元電,110,31
他說,110,94
逆勢,109,101
組裝,109,65
私募,109,42
為全,109,99
撐盤,109,94
損失,109,73
接受,109,102
勢的,109,100
光與,109,72
一般,109,95
電與,108,83
金管,108,59
過程,108,88
現象,108,91
月出,108,54
廠房,108,73
年每,108,85
官員,108,66
反映,108,101
原因,108,98
切入,108,83
組織,107,69
紅盤,107,77
籌碼,107,87
盤報,107,101
的最,107,98
會在,107,96
攻上,107,81
對外,107,84
學生,107,52
在半,107,91
亞太,107,61
體市,106,86
購案,106,66
續創,106,93
益率,106,69
照明,106,27
支援,106,88
持在,106,99
憑證,106,100
幅達,106,92
北美,106,55
上游,106,94
一舉,106,100
點開,105,96
電動,105,67
聯盟,105,59
等產,105,95
條件,105,81
日線,105,81
我國,105,69
好轉,105,81
大舉,105,90
及台,105,99
前已,105,98
利基,105,91
主席,105,73
主力,105,95
下降,105,87
轉正,104,64
股當,104,100
經過,104,99
穩懋,104,31
的國,104,93
日圓,104,54
十年,104,72
出新,104,95
上台,104,95
點的,103,93
體製,103,87
非蘋,103,68
部門,103,68
盤整,103,85
的研,103,66
當選,103,80
率將,103,83
無人,103,45
有的,103,85
月中,103,89
或是,103,85
在第,103,88
但在,103,97
一直,103,87
一大,103,92
配合,102,95
逐季,102,91
辨識,102,54
費用,102,71
股本,102,97
的美,102,99
發揮,102,89
月新,102,86
意外,102,86
度達,102,72
就會,102,81
天在,102,98
多元,102,75
在新,102,97
國發,102,53
動車,102,67
前景,102,97
之外,102,98
金屬,101,74
車電,101,75
能在,101,91
熊本,101,32
溝通,101,54
水位,101,83
會中,101,88
昱晶,101,60
意願,101,91
建置,101,76
完整,101,86
填息,101,60
回穩,101,86
參加,101,90
協理,101,98
腳步,100,89
股後,100,88
碩禾,100,54
熱門,100,70
有所,100,87
有不,100,90
強震,100,48
安謀,100,32
回到,100,92
具備,100,93
億至,100,78
保護,100,72
但台,100,92
下周,100,82
高後,99,87
避險,99,67
華碩,99,60
減碼,99,70
架構,99,62
數量,99,72
技業,99,72
成的,99,92
年在,99,81
天公,99,90
多方,99,83
國外,99,73
同樣,99,93
力的,99,95
全體,99,61
位於,99,79
主的,99,95
一家,99,83
香港,98,73
電表,98,54
萎縮,98,84
發電,98,37
發布,98,82
率先,98,93
機電,98,91
是在,98,88
日成,98,92
排除,98,90
態勢,98,89
展的,98,95
小紅,98,80
同業,98,76
選人,97,67
遊戲,97,68
資動,97,89
處於,97,83
穩健,97,89
的不,97,90
環保,97,57
收復,97,82
以台,97,90
除權,96,62
跌勢,96,85
評等,96,64
角色,96,86
能夠,96,79
盤漲,96,88
熱絡,96,81
搭配,96,84
成績,96,87
場加,96,96
國人,96,54
充電,96,30
一開,96,82
項目,95,77
績效,95,59
簽署,95,63
站穩,95,83
由台,95,84
會上,95,88
日表,95,93
收高,95,62
年可,95,87
嚴重,95,82
品質,95,72
周三,95,72
即使,95,86
以每,95,80
人力,95,52
也都,95,87
上看,95,85
量縮,94,78
資案,94,50
盤上,94,82
業利,94,73
年半,94,77
已連,94,87
實驗,94,58
定的,94,84
城市,94,34
參股,94,41
原先,94,78
券商,94,57
價走,94,81
健康,94,66
上銀,94,39
駕駛,93,56
韓國,93,78
轉率,93,25
與中,93,81
股股,93,79
的標,93,87
天股,93,86
大類,93,89
周線,93,59
加持,93,79
元之,93,82
作業,93,71
人的,93,78
五大,93,63
陷入,92,85
近日,92,80
能見,92,83
盤下,92,78
有關,92,80
數成,92,79
成果,92,80
度大,92,83
年資,92,69
在高,92,82
一天,92,76
首次,91,80
電力,91,46
陣營,91,71
豐金,91,82
讓台,91,81
規定,91,72
最快,91,81
是因,91,81
攀升,91,86
採取,91,79
息的,91,87
展現,91,79
將達,91,77
兩年,91,77
不可,91,79
一次,91,73
長李,90,79
轉向,90,78
貨幣,90,78
為新,90,89
正常,90,67
未能,90,79
抗跌,90,74
投片,90,55
強化,90,84
帶領,90,80
買進,89,73
觀光,89,70
與國,89,72
竹科,89,53
率為,89,66
永續,89,44
業人,89,64
年開,89,75
將以,89,84
審議,89,45
完全,89,73
再次,89,73
光和,89,33
但因,89,82
仍在,89,85
五年,89,65
上週,89,56
上海,89,48
三季,89,55
股比,88,68
發出,88,69
率高,88,82
本土,88,71
新加,88,70
干擾,88,79
和矽,88,32
利的,88,79
內需,88,66
仍將,88,80
中在,88,80
面的,87,81
都會,87,75
謹慎,87,71
規格,87,65
直接,87,75
為連,87,70
期成,87,78
會主,87,77
最強,87,78
最佳,87,75
明天,87,61
新款,87,59
政治,87,68
擴充,87,65
提前,87,74
年首,87,73
增溫,87,74
基期,87,72
土地,87,53
回應,87,72
含金,87,64
占大,87,68
協議,87,57
儲存,87,59
人工,87,47
主流,87,78
三個,87,75
運用,86,69
轉強,86,73
較前,86,68
能的,86,67
而且,86,71
綜合,86,73
納入,86,71
的方,86,83
最近,86,74
是國,86,72
日以,86,81
於中,86,82
性的,86,77
形成,86,72
布的,86,81
大利,86,71
在市,86,80
回測,86,73
鼓勵,85,62
預算,85,47
與電,85,73
與大,85,73
的生,85,77
的合,85,68
的可,85,78
發放,85,51
畢業,85,49
生態,85,55
歐股,85,75
整數,85,76
整併,85,54
微幅,85,73
將進,85,81
實際,85,75
博士,85,35
來說,85,73
體大,84,72
青睞,84,74
通股,84,53
這項,84,67
資深,84,70
要因,84,80
若能,84,75
能有,84,80
組合,84,68
發的,84,69
牽動,84,77
漲近,84,65
正在,84,78
星科,84,18
於上,84,75
新品,84,64
數的,84,81
數大,84,79
才會,84,77
年後,84,73
在於,84,77
國的,84,64
周一,84,68
危機,84,67
內資,84,61
代碼,84,84
下歷,84,76
一起,84,69
顧問,83,75
跌深,83,62
調升,83,56
知名,83,67
的表,83,78
發酵,83,79
當中,83,69
減幅,83,49
氣勢,83,69
會將,83,73
是大,83,78
指紋,83,39
才有,83,70
大聯,83,26
價也,83,78
但仍,83,81
交投,83,58
部長,82,63
逾百,82,75
蔡明,82,39
與美,82,63
至少,82,73
缺貨,82,39
盤為,82,78
盤時,82,70
的水,82,74
的權,82,63
發言,82,70
產學,82,35
現有,82,68
測業,82,57
日盛,82,59
日上,82,74
於美,82,79
收成,82,71
底前,82,71
幫助,82,68
售價,82,52
周轉,82,25
可達,82,66
南台,82,56
化鎵,82,32
化學,82,62
來將,82,78
二大,82,72
行的,81,77
臨時,81,51
而是,81,70
簽約,81,50
的第,81,75
機制,81,57
樣的,81,71
有台,81,76
會後,81,80
日收,81,79
數開,81,73
意見,81,58
升溫,81,74
前台,81,78
其實,81,61
保持,81,73
事件,81,75
也因,81,75
電及,80,73
降息,80,49
觸控,80,53
自結,80,50
續走,80,71
續第,80,66
結盟,80,53
的目,80,70
浩鼎,80,52
林全,80,33
智能,80,40
攜手,80,64
幅超,80,70
大產,80,66
商品,80,57
南茂,80,25
化的,80,74
全力,80,68
價下,80,66
估今,80,75
中科,80,37
下單,80,60
體上,79,52
雙雙,79,71
較為,79,68
的智,79,56
率不,79,67
爭取,79,61
為今,79,73
業及,79,71
期第,79,70
會是,79,72
最重,79,73
日起,79,67
新一,79,70
年內,79,54
定性,79,69
大股,79,58
動力,79,71
價大,79,75
仍可,79,77
調薪,78,11
衝高,78,63
藍燈,78,17
能不,78,73
紐約,78,70
穿戴,78,60
的業,78,65
業成,78,67
暢旺,78,66
是要,78,63
是最,78,73
市的,78,71
大會,78,56
大多,78,73
動的,78,73
別是,78,70
備貨,78,58
什麼,78,60
三年,78,65
一段,78,69
負責,77,62
落在,77,72
股周,77,64
股包,77,69
股仍,77,73
股下,77,66
減產,77,53
機關,77,50
普通,77,46
年輕,77,47
幣匯,77,63
市上,77,47
季不,77,61
大單,77,65
及美,77,72
長吳,76,72
這波,76,56
表態,76,69
續增,76,71
科的,76,60
的結,76,57
率約,76,57
潛力,76,66
李世,76,27
有可,76,73
月份,76,60
所需,76,68
恐怕,76,66
年合,76,68
年中,76,67
已達,76,70
對此,76,71
增幅,76,59
單一,76,73
光表,76,45
光第,76,42
顯著,75,66
連帶,75,61
資賣,75,63
護盤,75,47
調節,75,70
藉由,75,67
能將,75,67
續強,75,71
百億,75,57
瑞昱,75,43
激烈,75,64
業產,75,48
業中,75,63
明確,75,69
新日,75,49
整個,75,60
小時,75,55
多年,75,72
台中,75,41
可期,75,66
及電,75,69
及大,75,73
創辦,75,59
中低,75,56
重回,74,62
這樣,74,63
與其,74,70
股與,74,62
經費,74,31
程序,74,51
看空,74,64
盤價,74,70
的工,74,65
的創,74,55
當地,74,55
率的,74,69
為止,74,69
會比,74,63
日大,74,70
挫逾,74,60
廣達,74,48
外國,74,45
增長,74,59
台大,74,39
動態,74,66
創意,74,37
再生,74,24
兩個,74,69
低迷,74,64
主辦,74,54
不再,74,67
一旦,74,65
運作,73,55
谷底,73,59
能量,73,58
股可,73,63
總成,73,49
的設,73,58
的基,73,65
發明,73,18
疲軟,73,65
現場,73,65
灣證,73,70
決策,73,58
業機,73,53
日矽,73,40
日均,73,57
新增,73,60
持穩,73,71
所幸,73,70
弘塑,73,25
度的,73,65
年會,73,58
季新,73,50
季底,73,55
多家,73,64
在日,73,62
各國,73,64
反而,73,65
及中,73,70
全部,73,65
價持,73,64
來首,73,65
作的,73,69
似乎,73,62
亮麗,73,69
預定,72,62
都在,72,65
調高,72,60
角度,72,64
萬支,72,30
航運,72,57
能性,72,63
續發,72,70
盤一,72,67
的競,72,64
的現,72,66
獨立,72,49
特殊,72,63
有意,72,68
文化,72,54
徵才,72,23
度跌,72,66
就可,72,61
天下,72,66
同意,72,60
合資,72,56
台達,72,58
像是,72,66
傳輸,72,34
位置,72,67
人對,72,65
人可,72,63
三安,72,15
轉進,71,54
要有,71,54
聯邦,71,67
聯大,71,18
節能,71,41
等大,71,66
用水,71,17
用在,71,64
為例,71,62
滿足,71,55
湧入,71,64
時會,71,48
日也,71,63
數一,71,66
收紅,71,64
