單詞,TF,DF
香港,1200,684
獲利,1199,647
舉辦,1198,838
報告,1192,699
下午,1191,906
大的,1190,977
造成,1188,929
委員,1188,758
電視,1183,473
此外,1182,1037
昨天,1180,824
外資,1178,502
擴大,1175,873
競爭,1160,739
另外,1159,1039
行動,1158,721
聯合,1156,702
國人,1155,724
經理,1154,836
韓國,1153,718
的是,1148,982
這次,1147,837
還有,1143,917
歷史,1143,726
必須,1140,842
更多,1139,941
正式,1134,887
這是,1128,915
管理,1127,711
半年,1125,586
事業,1125,574
英文,1123,514
熊本,1115,315
的人,1112,796
開放,1107,606
參與,1106,773
進入,1105,820
系統,1104,575
升值,1104,590
內容,1101,798
行政,1093,662
供應,1090,581
最高,1088,854
政治,1085,672
萬元,1079,584
無法,1079,862
不同,1078,819
的國,1069,838
升息,1066,505
獲得,1061,803
召開,1061,774
協會,1061,687
上漲,1061,632
法院,1059,548
雨天,1058,157
將在,1058,888
方式,1057,819
與日,1055,844
進口,1054,466
平均,1050,588
兩岸,1048,350
風險,1046,655
南海,1045,315
都是,1042,844
本的,1041,847
以上,1041,769
相當,1038,883
預估,1037,718
可望,1036,754
台日,1035,429
來台,1034,591
蘋果,1032,363
印度,1028,422
汽車,1022,410
議題,1019,634
收購,1015,436
來自,1015,788
的日,1009,869
之後,1009,839
他說,1007,780
討論,1004,706
協助,1001,694
當地,997,674
研發,995,507
股價,993,561
完成,991,712
吸引,991,766
非常,989,756
網路,989,540
執行,987,739
應該,983,721
來的,981,828
客戶,978,487
參加,977,687
廠商,973,562
發表,971,724
期間,970,777
提升,969,713
帶動,968,752
也有,966,834
下跌,965,563
民國,963,472
需要,960,736
機構,960,655
情況,954,774
為了,947,795
員會,946,647
交流,943,516
桃園,941,302
日前,939,774
通過,938,677
創新,935,581
整體,933,707
機場,923,380
人員,922,590
成立,921,631
生活,917,565
穩定,916,702
數據,912,624
的經,910,710
甚至,910,764
環境,910,648
員工,910,390
工業,908,551
明年,904,549
第二,902,703
導致,902,734
取得,902,635
選擇,897,679
亞太,896,478
至於,895,767
大阪,895,598
最後,893,729
協議,892,519
業務,890,500
日經,890,684
來到,889,592
繼續,888,722
機器,885,233
立法,884,497
官員,884,595
普的,880,444
事會,880,555
資產,879,521
業績,879,472
規劃,878,612
的一,877,758
年度,875,533
說明,873,686
業的,873,650
策略,871,679
最新,870,724
出的,870,720
一度,870,659
團隊,869,523
金額,867,567
發現,867,625
也不,865,719
場的,863,689
消息,859,638
解決,857,579
不能,854,595
前往,853,635
的新,851,699
藝術,850,233
長期,849,615
很多,847,622
擁有,846,677
是一,845,680
各國,843,633
所有,840,671
學生,839,329
區域,837,539
太平,830,435
國會,830,451
當時,828,585
減少,827,565
觀察,826,651
成功,824,617
我國,822,377
高雄,820,368
飛彈,820,203
近期,819,661
資訊,819,585
有機,819,608
分別,818,718
海域,815,330
還是,814,644
自由,813,500
處理,809,546
萬人,809,495
應用,809,410
新高,807,555
議員,805,387
成本,801,502
連續,800,644
英鎊,800,363
布局,800,519
行的,799,674
出席,798,593
年底,794,606
越南,793,302
和平,791,378
人的,791,636
旗下,790,592
歐元,789,536
大幅,788,641
月底,786,619
發布,785,675
方案,784,471
東南,783,437
上的,782,654
也將,781,673
新的,779,641
訪問,777,475
上市,777,488
事件,764,497
股東,763,395
傳統,762,492
天在,758,686
德國,757,515
有關,756,598
不僅,754,649
關注,753,642
為主,753,616
有一,753,630
立委,752,382
一次,752,608
準備,750,632
措施,750,535
貶值,749,452
倫敦,746,497
泰國,745,386
成交,745,526
幣兌,745,362
將於,745,644
領域,744,518
組織,744,499
資料,743,502
擔任,743,502
建議,743,544
太陽,743,241
能力,742,558
統計,740,576
邀請,739,546
如何,739,582
地方,739,501
部長,737,566
之一,737,663
介在,735,176
展開,733,616
面臨,732,583
狀況,732,550
什麼,732,512
城市,731,343
新興,728,391
年前,726,586
個人,726,533
了解,726,594
提高,725,584
加入,724,487
價值,724,490
今早,724,313
談判,723,383
要的,722,619
注意,722,447
達成,716,530
夥伴,716,516
協商,716,411
達到,715,577
大家,714,504
平台,713,402
的大,710,606
是日,710,590
基本,707,565
南亞,707,385
法人,704,471
所以,704,569
申請,703,324
只要,702,538
元兌,702,383
交通,702,427
的台,697,565
的地,695,505
這項,693,527
聲明,692,420
教育,692,337
來最,690,509
開盤,689,439
是台,688,539
壓力,688,521
引發,687,607
雷雨,686,117
帶來,686,571
挑戰,685,525
設備,684,374
年增,684,390
紐約,683,527
一定,683,547
元的,679,552
主張,678,424
上周,678,401
關鍵,676,481
漲幅,676,390
商機,676,442
北市,675,346
近年,674,570
趨勢,674,535
作為,674,568
發言,673,535
的主,672,579
主席,671,498
的重,668,581
大廠,667,482
體驗,662,353
總裁,662,485
的時,661,534
的成,661,538
對台,661,484
實施,660,464
努力,660,514
財政,658,386
每年,658,506
隨著,657,578
臺灣,657,135
日起,657,518
首度,656,541
確定,656,531
寬鬆,656,395
調整,655,447
現場,655,453
因應,654,534
再度,653,557
能源,652,305
相對,652,535
小時,652,441
華航,651,159
任何,650,521
航班,649,256
公開,648,452
主管,648,481
只有,645,538
的關,644,520
標準,644,394
面對,643,511
外匯,643,320
會有,640,552
協定,635,292
法國,634,390
正在,634,549
同期,634,375
國總,633,466
盤中,632,397
的方,631,526
一年,631,489
結合,629,471
好的,629,508
的機,628,518
明顯,628,526
對日,628,496
另一,628,566
大漲,627,376
原本,627,522
優惠,627,323
家的,626,517
領導,625,427
一直,625,549
首次,623,528
女性,623,289
陸續,622,526
附近,621,450
至今,620,537
購買,618,433
是在,617,549
日在,617,554
加強,617,470
立場,616,429
時代,616,392
建築,616,244
來看,612,496
大臣,611,372
嚴重,611,495
之前,611,545
不斷,611,500
的情,610,514
尤其,609,527
國外,609,457
健康,609,363
經驗,608,459
衝擊,607,477
基礎,606,464
高達,605,509
資源,605,409
興航,605,103
知名,605,494
跌幅,604,362
院長,603,387
台中,603,246
則是,602,519
聯盟,601,415
年同,601,353
人次,601,271
在東,600,465
改善,599,433
百貨,598,205
民主,598,349
第三,597,463
採取,597,476
左右,597,508
中的,597,522
透露,596,514
空間,596,462
因素,596,493
發行,595,278
的政,594,451
爭議,594,397
日方,594,300
人數,593,404
降低,592,476
階段,590,449
專利,589,127
國國,589,467
表達,588,451
的資,588,465
航線,586,225
油價,586,334
但是,586,473
不少,586,485
股票,585,344
社長,584,335
也會,584,520
旅行,583,296
峰會,583,275
都有,582,525
這樣,582,474
看到,581,466
營業,581,357
有的,581,481
印尼,581,310
系列,580,390
樣的,580,492
外界,580,481
事務,580,382
全面,579,483
海洋,577,256
合國,577,349
只是,576,489
訂單,575,311
日股,575,361
國政,575,406
副總,575,434
單位,574,438
負責,573,462
證券,573,331
規定,573,360
作業,573,339
改變,572,459
才能,572,467
投入,571,402
年輕,569,359
年第,569,411
呼籲,569,448
看好,568,425
漁民,567,195
建立,567,434
優勢,566,423
福島,563,237
澳洲,563,404
高低,562,188
此次,562,442
利用,562,445
選舉,561,294
復興,560,153
專家,560,396
考慮,559,437
預測,558,375
公里,558,342
不要,558,411
選人,557,385
大型,557,428
台南,556,232
結束,555,475
有效,555,483
人才,555,266
新政,554,317
例如,554,458
下雪,554,100
產能,553,272
會談,553,287
啟動,553,406
保護,552,371
模式,551,374
比較,550,422
評估,549,412
專業,548,387
簽約,547,281
在國,547,472
呈現,547,474
網站,545,415
當選,545,377
創造,543,426
也可,542,480
定的,541,456
後的,539,476
一起,538,421
紀錄,537,399
整合,537,376
作品,536,202
一樣,536,450
景氣,535,338
直接,532,422
本人,532,359
期待,532,445
打造,532,398
發射,531,156
海面,531,99
位於,531,431
他的,531,383
氣象,530,198
核災,530,231
委會,530,284
北京,530,301
飯店,529,248
的產,528,416
歡迎,528,404
梅伊,528,164
會的,528,426
購物,527,255
工廠,527,316
下滑,527,381
功能,526,349
改革,525,280
有人,524,425
回應,523,415
會上,521,447
明天,520,343
在這,520,437
並不,519,451
強化,517,412
區的,514,424
們的,514,384
一般,514,434
領袖,512,288
達電,512,168
國防,509,284
間的,507,434
重大,507,414
的民,506,391
醫療,504,252
走勢,504,366
早盤,504,356
市長,504,325
大關,504,321
的影,503,418
就業,503,295
外國,503,348
原因,502,436
將會,501,421
出貨,501,250
於日,499,457
重新,497,424
日銀,497,166
即將,497,453
與台,496,407
態度,496,399
在大,496,403
中間,496,344
不到,496,425
行為,495,355
彭博,495,421
年以,495,426
成的,494,439
商業,494,377
執政,493,318
反對,493,338
具有,493,427
對話,492,244
多元,492,395
在美,492,411
來說,491,409
開幕,490,311
虧損,490,269
的美,490,409
的事,490,417
意見,490,389
展望,490,397
言人,488,414
聯網,488,220
的最,488,446
對外,488,377
反彈,488,341
儘管,488,433
不可,488,423
方向,487,398
擔心,487,415
西亞,486,340
美股,486,319
水準,486,386
人口,485,284
排名,483,234
知道,482,396
簽署,481,296
官方,481,361
在中,481,385
包含,480,420
成員,479,350
三星,479,193
為台,478,406
創下,478,403
過程,477,387
資本,475,303
部門,474,338
符合,474,398
農業,473,168
行長,472,385
決議,472,340
收盤,472,317
韓元,471,324
最低,470,365
的第,469,405
歲的,469,323
到日,468,389
突破,467,380
最近,467,401
對此,467,431
國經,467,340
保守,467,278
主題,467,316
法律,466,294
市的,466,381
短期,465,359
的公,465,384
每股,465,293
在全,465,386
南部,465,241
全台,465,325
並未,465,402
轉型,464,273
能會,464,348
能夠,464,364
合併,464,249
信心,464,367
實際,463,374
至少,462,397
的中,462,408
波動,462,318
天上,462,382
漁船,461,189
有利,461,361
同意,461,371
北部,461,199
內的,461,393
京都,461,213
這種,460,374
全國,460,347
羅斯,459,290
的投,459,362
前的,459,412
先前,459,389
仲裁,459,139
高的,458,402
性的,458,414
傳出,457,382
運動,456,259
逐漸,456,386
工程,456,238
共識,456,307
目的,455,381
爭取,455,363
的發,454,375
國聯,454,382
化的,454,397
個國,454,351
震盪,452,334
溝通,452,308
條件,452,362
力的,452,391
會在,451,410
引進,451,316
分行,451,97
程序,450,315
引述,450,362
天下,450,383
電廠,449,166
而且,449,377
多數,449,385
多人,449,390
各地,449,382
危機,449,309
作的,449,390
與中,448,360
承諾,447,344
兩國,447,309
財務,446,323
團體,446,289
理事,445,362
對美,445,341
商務,445,228
和日,445,398
海上,444,290
採用,444,312
的行,443,383
現金,443,273
里斯,442,256
東北,442,259
數位,442,226
已有,442,397
就會,442,372
長的,441,408
訊息,441,343
晚間,441,347
刺激,441,310
的高,439,400
本周,439,303
之外,439,392
裝置,438,286
主權,438,250
一些,438,359
沖繩,437,185
工具,437,232
大選,437,292
高峰,436,292
通訊,436,295
衰退,436,257
展現,435,380
避免,434,359
本國,434,332
會員,434,225
政部,434,261
三菱,434,200
值得,433,385
併購,433,217
電腦,432,261
陸客,432,136
美食,432,210
行銷,431,280
有助,431,380
快速,431,358
完全,431,368
颱風,430,153
而是,430,376
品質,430,298
譯者,429,429
建設,429,307
變化,428,361
考量,428,369
獨立,428,286
抗議,428,247
及日,427,396
財報,426,278
是要,425,367
釣魚,424,154
經過,424,389
比重,424,282
將有,424,362
大會,424,275
多的,424,354
要是,423,389
幾乎,423,383
多年,423,360
必要,422,367
其實,421,345
計劃,420,327
科學,419,252
業界,417,303
有限,417,343
品的,417,318
內閣,417,267
會長,415,257
強震,415,229
遊客,414,189
是不,414,355
仍有,414,376
高度,413,347
家庭,413,286
告訴,413,347
統一,412,174
展出,412,225
利益,412,310
家電,411,182
基地,411,231
權益,410,274
與美,409,339
教授,409,256
戰略,408,296
下的,408,381
而言,407,352
提到,407,322
幅度,407,334
辦公,406,271
在今,405,381
優先,405,305
核電,404,117
如今,404,342
鴻夏,403,217
行程,403,256
臉書,403,225
新社,403,367
債券,402,150
漁業,401,156
安排,401,305
內部,401,307
的生,400,335
動能,400,313
長林,399,339
的外,399,330
登場,399,338
北海,399,186
通路,398,218
軍事,398,237
最多,398,313
受訪,398,333
投票,397,195
設立,396,301
自動,396,220
國在,396,326
用的,395,344
日的,395,359
掌握,395,314
做出,395,329
餐飲,394,186
重視,394,337
重挫,394,292
本市,394,284
下一,394,328
三大,394,321
起至,393,351
護漁,392,117
的合,392,320
理人,392,272
在南,392,264
國公,392,305
駐日,391,221
紀念,391,204
的不,391,356
決策,391,301
相較,390,363
產生,390,322
東協,390,172
在地,390,279
令人,390,349
東海,389,203
搭配,389,318
創業,389,166
能在,388,354
美軍,388,157
於台,388,351
恢復,388,288
強烈,388,327
行情,387,237
海的,387,293
受惠,387,311
的電,386,273
或是,386,329
都會,385,353
大量,385,331
反應,385,277
責任,384,279
下來,384,349
如此,381,347
再次,381,321
防衛,380,200
會主,380,331
原則,380,288
元大,380,219
的工,379,312
生的,379,328
截至,379,338
尚未,379,339
歐美,378,291
昨日,378,262
公告,378,261
重點,377,330
機票,377,185
清楚,375,313
機制,375,259
朋友,375,270
大利,375,272
公尺,375,216
高點,374,283
的市,374,315
匯市,374,277
也在,374,362
鋼鐵,373,138
將是,373,328
全年,373,262
最佳,372,270
後續,372,308
同步,372,336
質疑,371,288
液晶,371,191
度的,371,333
黨立,370,214
時的,370,333
咖啡,370,128
九州,370,190
結構,369,273
測試,369,195
分鐘,369,271
上海,369,233
留歐,368,159
機率,368,289
國與,368,306
勞動,368,191
促進,368,303
事實,368,280
與國,367,308
布的,367,338
地的,367,322
輻射,366,159
虎航,366,76
動的,365,323
預算,364,216
期的,364,321
等國,363,324
天的,363,326
月的,362,305
尼斯,362,185
密切,362,306
脫離,361,270
樂陞,361,57
月以,361,301
新機,361,254
支付,361,175
名的,361,310
黨團,360,144
配合,360,320
有很,360,306
就可,360,295
在歐,360,259
公噸,360,77
一家,360,297
都不,359,318
者的,359,308
相信,359,310
地位,359,284
的可,358,311
為日,358,310
政黨,357,223
到台,357,289
出國,357,233
像是,357,309
是全,356,326
國安,356,217
分享,356,281
兩個,356,313
金會,355,197
確保,355,286
的商,355,286
年營,355,238
學校,355,216
國首,355,320
鼓勵,354,271
自然,354,262
百分,354,214
市占,354,209
制度,354,216
總部,353,241
的目,353,315
指標,353,273
意外,353,280
互動,353,249
降息,352,156
調降,352,208
股權,352,228
線上,352,220
林全,352,114
持有,352,243
發的,351,296
後來,351,291
出發,351,258
他也,351,313
電信,350,174
製作,350,224
的原,350,312
生技,350,147
海嘯,350,179
批評,350,282
感到,350,298
匯價,350,183
德里,349,185
年成,349,274
容易,349,291
外銷,349,174
長榮,348,102
特色,348,259
本月,348,308
程度,347,297
發電,347,148
概念,347,268
支援,347,249
他國,347,286
類股,346,213
起來,346,296
年全,346,283
唯一,346,308
同樣,346,320
不只,346,301
顧問,344,258
路透,344,298
的旅,344,240
巴黎,344,272
使得,344,306
軟銀,343,91
貢獻,343,275
真的,343,282
飛機,342,203
這一,342,279
發出,342,291
日至,342,293
接近,342,306
採購,342,214
順利,341,294
近日,341,301
比例,341,269
收益,341,191
威脅,341,254
保險,341,136
黃金,340,196
高層,340,264
角色,340,280
福岡,340,150
優於,340,264
餐廳,339,165
避險,339,234
提醒,339,275
成果,339,267
電池,338,121
軟體,338,207
本大,338,281
出來,338,281
加速,337,276
主辦,337,258
學習,336,222
中小,336,209
總理,335,212
的作,335,246
威航,335,72
有意,334,280
有些,334,269
一天,334,273
通膨,333,194
的海,333,264
廢鋼,333,51
一名,333,272
面的,332,292
有不,331,308
內外,331,287
亞股,331,193
主因,331,300
海與,330,211
更是,330,297
提案,330,208
運用,329,256
自民,329,143
的基,329,276
控制,329,220
謝長,328,99
然而,328,287
核心,328,265
抵達,328,239
公債,328,160
願意,327,281
能有,327,297
拓展,327,280
黨魁,326,146
限制,326,263
網友,326,150
秘書,326,244
支出,326,220
府的,326,268
民的,325,245
格蘭,325,124
有可,325,295
引起,325,290
審查,325,189
大跌,325,240
勞工,325,144
警方,324,146
論壇,323,194
普遍,323,289
斯本,323,265
以下,323,277
組件,322,186
幣匯,322,208
上升,322,242
電力,321,153
族群,321,232
前已,321,301
費用,320,228
是因,320,285
日報,320,256
一大,320,290
義大,319,210
的風,319,278
效果,319,244
零售,318,189
當局,318,243
是最,318,296
天氣,318,198
反映,318,274
日開,317,265
新低,317,238
下降,317,226
領先,316,253
累計,316,245
數量,316,251
兩年,316,273
赴日,315,224
確認,315,265
每公,315,64
代理,315,203
幾年,314,282
同的,314,273
先進,314,243
的決,313,265
收入,313,187
年減,313,170
在內,313,285
各種,313,270
中日,313,134
資的,312,272
感謝,312,230
距離,311,259
期貨,311,191
土地,311,195
即使,311,280
音樂,310,111
觀測,310,114
精神,310,236
會中,310,271
攜手,310,255
大地,310,223
國和,310,271
別是,310,286
全力,310,262
保證,310,230
中信,310,76
高階,309,219
負債,309,155
覺得,309,237
的前,309,258
凌晨,309,210
估計,309,257
任務,309,203
也要,309,271
不變,309,245
這麼,308,259
盟的,308,207
機關,308,221
最快,308,258
排除,308,269
對中,308,252
在亞,308,252
速度,307,256
禁止,307,175
用戶,307,140
為全,307,268
出資,307,191
事情,307,223
一方,307,232
預定,306,261
股今,306,219
時期,306,241
是有,306,284
升至,306,258
縣市,305,166
紛紛,305,277
為止,305,281
民調,305,164
日將,305,280
低點,305,240
退休,304,137
範圍,304,248
的消,304,271
最終,303,248
時也,303,286
損失,303,214
就有,303,268
加碼,303,226
低於,303,246
重建,302,199
玩家,302,117
晶片,302,132
修正,302,210
保障,302,218
藉由,301,273
自行,301,195
看法,301,268
的優,301,254
機的,301,253
是中,301,263
年在,301,259
學者,301,204
力量,301,238
電影,300,152
年將,300,268
綜合,299,249
盤後,299,278
周邊,299,228
設施,298,205
望能,298,269
投信,298,152
意的,298,269
存在,298,253
的營,297,240
很大,297,271
年內,297,249
周五,297,202
元之,297,193
人事,297,194
並非,297,268
能性,296,259
絕對,296,248
管制,296,172
時尚,296,143
元今,296,257
不動,296,182
首爾,295,249
都在,295,265
推廣,295,229
風力,294,80
金管,294,132
於今,294,274
得到,294,260
在新,294,260
一旦,294,260
虛擬,293,143
每日,293,223
中午,293,232
晶圓,292,82
到的,292,244
上任,292,224
訓練,291,176
維護,291,223
海巡,291,101
次的,291,261
曼谷,291,246
專屬,291,199
前在,291,279
免費,291,185
保持,291,254
自衛,290,131
臨時,290,209
的意,290,261
環保,290,171
死亡,290,189
機械,290,148
據點,290,199
怎麼,290,236
公共,290,201
人力,290,201
表演,289,174
肯定,289,214
產的,289,246
民間,289,228
在一,289,252
便利,289,189
項目,288,231
要有,288,239
行業,288,185
等地,288,264
是國,288,256
共有,288,256
住民,288,79
體的,287,241
材料,287,140
日公,287,265
屬於,287,255
預料,286,261
心的,286,260
完整,286,246
公務,286,177
的價,285,244
攻擊,285,174
操作,285,210
代工,285,167
主義,285,207
災區,284,174
原油,284,162
並且,284,248
立即,283,245
移民,283,164
的全,283,262
有多,283,260
息的,283,217
回升,283,232
人氣,283,217
阿里,282,85
當然,282,241
幫助,282,234
十年,282,225
上述,282,257
辦理,281,210
管會,281,123
稅後,281,140
的話,281,240
的小,281,233
找到,281,211
才會,281,258
外的,281,269
堅持,281,229
門市,280,133
的支,280,235
焦點,280,251
更加,280,253
是美,280,223
法規,279,187
有所,279,256
取消,279,157
參觀,279,195
一波,279,245
醫院,278,136
視為,278,251
為何,278,227
尊重,278,226
國泰,278,142
以外,278,254
離開,277,234
開出,277,214
道歉,277,140
海軍,277,132
強勢,277,220
底前,277,241
展覽,277,160
多次,277,250
參展,277,131
陷入,276,248
車站,276,124
扮演,276,233
定要,276,233
大使,276,178
午在,276,267
力道,275,221
的領,274,234
務的,274,244
與大,273,203
發揮,273,233
年新,273,235
主任,273,225
雙邊,272,202
讓人,272,241
的東,272,233
每天,272,204
最重,272,242
人物,272,205
連結,271,191
證明,271,194
疑慮,271,240
漲逾,271,164
測到,271,110
正常,271,229
櫻花,271,69
後一,271,240
商店,271,159
為國,270,246
會今,270,250
售價,270,174
一事,270,224
違反,269,195
這也,269,251
訪時,269,250
留在,269,199
用於,269,221
實現,269,220
與歐,268,190
有更,268,241
伊斯,268,225
人在,268,249
每個,267,237
將成,267,246
全新,267,207
個百,267,160
依據,267,223
超越,266,221
戰爭,266,156
高於,265,232
類似,265,238
辦的,265,237
意願,265,215
將持,265,244
台的,265,235
占比,265,160
不足,265,229
議院,264,164
緊急,264,190
的金,264,234
年初,264,228
布魯,264,223
展示,264,195
尋求,264,246
不如,264,232
變成,263,230
的專,263,214
況下,263,242
收在,263,180
廣島,263,79
年起,263,232
增長,263,188
終場,262,197
節目,262,126
的預,262,227
展的,262,229
大多,262,243
他在,262,237
中一,262,237
一代,262,197
金控,261,116
退出,261,185
精品,261,104
的立,261,224
時候,261,222
授權,261,176
意義,261,223
實境,261,124
人對,261,227
還要,260,235
評論,260,202
環球,260,111
核武,260,114
最好,260,225
年開,260,237
奧運,260,124
大樓,260,140
只能,260,236
不但,260,227
領土,259,149
起飛,259,106
累積,259,198
納入,259,201
是為,259,234
是大,259,233
接下,259,235
喜歡,259,211
前景,259,225
都可,258,234
適合,258,228
的企,258,214
月來,258,216
是以,258,236
感受,258,217
國務,258,162
全家,258,84
緬甸,257,70
盤價,257,182
產線,257,140
午盤,257,191
內政,257,176
不知,257,227
豐富,256,228
本地,256,203
會面,256,192
日上,256,229
支撐,256,226
在北,256,212
創作,256,117
革新,255,182
經貿,255,154
畢業,255,151
本熊,255,152
方的,255,226
域的,255,212
困難,255,212
前一,255,219
來回,255,145
似乎,255,223
能是,254,232
新一,254,193
但在,254,244
一位,254,204
的安,253,225
的交,253,225
班機,253,123
承認,253,205
市政,253,167
實質,253,208
及其,253,225
主導,253,203
高鐵,252,72
高橋,252,136
選民,252,145
祭出,252,208
的需,252,228
氣溫,252,228
樂觀,252,210
本面,252,195
員國,252,159
來將,252,229
了一,252,224
東證,251,188
會後,251,231
飛行,250,148
警告,250,216
是他,250,218
於美,250,227
效應,250,200
馬尼,249,220
證實,249,217
蘭克,249,224
的數,249,212
獨家,249,183
情勢,249,214
動作,249,213
其次,249,223
不再,249,223
上台,249,210
題的,248,213
解釋,248,218
研院,248,102
真正,248,204
的心,248,215
會表,248,215
方法,248,191
學院,248,165
在於,248,226
利的,248,216
具體,248,221
也沒,248,220
降至,247,192
長陳,247,220
船隻,247,107
當年,247,193
正面,247,217
根本,247,197
明確,247,221
形成,247,210
局長,247,204
也說,247,233
一路,247,217
辦法,246,214
的結,246,220
效率,246,193
儀式,246,191
當天,245,195
延續,245,223
年台,245,209
年代,245,185
在英,245,191
司法,245,137
設置,244,178
權利,244,160
出新,244,215
也就,244,218
的技,243,192
激勵,243,213
持股,243,150
便宜,243,196
三個,243,203
電話,242,180
詢問,242,220
落實,242,195
債務,242,153
人都,242,219
主委,242,182
逐步,241,208
螢幕,241,116
興趣,241,201
率的,241,206
年後,241,213
入主,241,161
不滿,241,191
這兩,240,222
致詞,240,178
美日,240,141
盈餘,240,143
的航,240,163
當中,240,218
熱門,240,187
將以,240,215
富士,240,115
天堂,240,100
來新,240,221
人工,240,154
龍頭,239,206
超商,239,88
衛生,239,153
日新,239,165
具備,239,197
信託,239,108
主持,239,197
上週,239,161
重貶,238,152
規範,238,181
本次,238,171
旺季,238,176
搭乘,238,165
採訪,238,184
來源,238,206
不一,238,205
進駐,237,173
能的,237,202
組成,237,195
的自,237,217
日舉,237,227
不利,237,209
重申,236,206
較高,236,210
與會,236,166
的現,236,212
的核,236,185
瑞士,236,156
日韓,236,132
新創,236,106
料理,236,125
成績,236,184
影片,236,112
專案,236,170
回到,236,209
但這,236,224
交換,236,179
之下,236,221
陸股,235,139
陰天,235,104
本外,235,192
會計,235,152
是我,235,181
天公,235,210
公園,235,137
兩大,235,213
不大,235,203
三年,235,182
難以,234,206
資深,234,214
視台,234,177
緊張,234,194
給予,234,204
的年,234,199
的協,234,210
歐的,234,159
更有,234,212
時報,234,181
放棄,234,178
及台,234,223
十分,234,216
也能,234,219
上揚,234,201
電商,233,92
隨後,233,219
日晚,233,190
她說,233,178
喜愛,233,197
公平,233,141
