單詞,TF,DF
人員,4684,2806
會議,4678,2682
特別,4666,3568
處理,4656,2903
應該,4643,3265
桃園,4641,2263
積極,4636,3485
方面,4613,3348
方式,4603,3556
完成,4603,3245
由於,4601,3830
更多,4595,3623
大家,4580,2956
陣風,4558,503
交通,4528,2222
需要,4492,3344
指數,4487,1683
舉行,4456,3775
全台,4432,3196
不同,4424,3262
許多,4398,3480
個月,4393,3044
根據,4378,3707
院長,4368,2679
政治,4361,2524
都是,4355,3606
顯示,4347,2962
生活,4346,2698
手機,4339,1889
平均,4265,2156
網路,4249,2315
執行,4243,3102
參加,4228,2946
表現,4220,2742
造成,4204,3205
開發,4200,2321
成交,4188,1962
交流,4187,2351
接受,4163,3190
出席,4150,3044
台股,4143,1396
以上,4137,3067
協會,4128,2349
加上,4128,3416
金額,4118,2517
非常,4109,2971
他們,4109,2604
經營,4102,2412
營運,4099,2498
營收,4080,1582
提升,4058,2973
亞洲,4035,2321
這次,4032,2984
預計,4014,3003
台中,4003,1875
來台,3999,2303
無法,3992,3088
旅客,3989,1537
必須,3969,2937
宣布,3967,3162
旅遊,3961,1568
銷售,3958,2010
這個,3956,2797
他說,3945,3004
公布,3941,2974
很多,3927,2884
還有,3924,3280
開放,3923,2286
的人,3923,2886
年的,3908,3041
報導,3908,2362
雨或,3901,456
成立,3884,2657
團隊,3875,2241
平台,3873,2129
邀請,3860,2757
出現,3860,2859
這是,3851,3102
是台,3851,3179
台南,3848,1800
另外,3847,3405
資料,3834,2435
資訊,3821,2424
規劃,3812,2660
此外,3807,3440
最高,3807,2969
至於,3787,3246
年來,3784,3097
雙方,3777,2283
目標,3768,2668
商品,3765,1800
獲得,3749,2789
雖然,3720,3180
了解,3714,2889
對台,3697,2721
大的,3687,3075
通過,3686,2469
的是,3681,3121
競爭,3679,2379
報告,3678,2260
內容,3676,2761
議題,3672,2436
業務,3670,2072
受到,3662,3041
結果,3647,2611
期間,3621,2777
一步,3619,3039
民主,3606,1925
相當,3601,2994
維持,3600,2573
這些,3598,2774
進入,3585,2783
還是,3580,2783
解決,3575,2385
客戶,3554,1556
不能,3544,2586
市長,3515,2056
地方,3515,2349
申請,3508,1794
委會,3486,1641
的台,3479,2857
廠商,3478,1891
也有,3477,3002
颱風,3468,1166
價格,3467,1942
說明,3464,2655
建議,3443,2408
最後,3419,2725
是一,3417,2715
資金,3414,1916
時多,3411,550
臺灣,3402,1040
組織,3397,1988
部長,3394,2353
整體,3391,2525
以來,3385,2782
所有,3368,2662
一定,3362,2615
努力,3342,2525
決定,3338,2531
員工,3332,1403
日前,3311,2819
歷史,3299,2063
甚至,3292,2778
氣象,3289,1319
鴻海,3276,755
發現,3269,2405
藝術,3268,1102
正式,3264,2630
結合,3263,2255
只要,3263,2608
新政,3255,1906
討論,3253,2313
個人,3244,2308
擔任,3241,2226
人才,3228,1605
專業,3214,2146
外資,3199,1242
時代,3196,2002
當地,3195,2212
研發,3192,1705
第二,3187,2472
的國,3173,2499
如何,3172,2444
為了,3163,2622
局部,3162,790
半年,3161,1816
醫療,3156,1300
聯合,3142,1948
主席,3140,1895
應用,3129,1598
發表,3127,2292
預期,3122,2114
昨天,3120,2282
電信,3115,1095
生產,3115,1720
單位,3114,2313
為台,3112,2674
現場,3096,2184
有一,3095,2598
政部,3087,1419
分析,3087,2308
東南,3083,1567
也不,3077,2629
資源,3076,2092
北部,3070,1080
業的,3066,2328
海外,3065,1693
長期,3061,2378
選擇,3055,2212
規定,3037,1920
和平,3025,1381
年輕,3023,1741
穩定,3008,2175
分別,3008,2529
來的,3004,2531
面對,2994,2369
成功,2976,2249
規模,2973,2159
什麼,2971,2107
注意,2963,1965
統計,2955,2285
事件,2952,1801
能力,2950,2098
香港,2943,1392
人的,2940,2340
選人,2936,1757
要的,2934,2459
學校,2926,1452
縣市,2925,1524
一起,2906,2192
製造,2896,1641
共識,2895,1498
不要,2894,2110
遊戲,2889,884
經驗,2886,2179
吸引,2886,2267
上市,2869,1654
好的,2863,2273
來自,2862,2287
南部,2858,1361
小時,2856,1916
副總,2847,1944
前往,2844,2131
東北,2835,867
機構,2828,1848
地震,2822,1056
預估,2819,1936
今日,2819,1933
國人,2818,1875
電視,2815,1110
新北,2814,1770
有機,2813,2123
一次,2812,2253
溝通,2811,1747
工程,2810,1412
太平,2804,1133
取得,2799,1956
發布,2797,2338
獲利,2793,1544
人士,2788,1945
改革,2784,1165
工業,2779,1512
價值,2775,1907
為主,2771,2281
支付,2768,767
減少,2767,1904
健康,2765,1543
事業,2761,1616
繼續,2758,2202
狀況,2744,2150
這樣,2735,2122
空間,2729,1987
機場,2728,1085
整合,2718,1751
上的,2718,2310
貿易,2704,1364
領域,2702,1874
出口,2700,1192
基礎,2685,1908
英國,2676,1133
會有,2676,2267
夏普,2674,321
林全,2672,916
新的,2672,2109
數位,2669,1169
公開,2668,1758
供應,2664,1515
自由,2658,1622
全國,2657,1789
團體,2655,1574
的一,2651,2270
當時,2638,1918
長林,2634,2218
的新,2633,2205
發言,2630,2088
看到,2626,2044
傳統,2623,1766
不僅,2607,2272
觀察,2606,2057
區域,2605,1704
加入,2600,1804
市政,2599,1884
各地,2598,1843
優惠,2598,1282
帶動,2585,1982
只有,2583,2136
方案,2581,1603
趨勢,2579,1936
明年,2578,1541
呼籲,2577,1993
將在,2568,2203
才能,2566,2138
與台,2564,2105
也會,2545,2189
所以,2542,2039
策略,2539,1807
擴大,2539,1981
食品,2538,1043
作為,2537,2123
城市,2535,1210
可望,2529,1795
之後,2529,2163
調整,2527,1701
情況,2523,2059
每年,2513,1992
建立,2507,1914
只是,2505,2110
轉型,2503,1414
市府,2502,987
體驗,2480,1441
召開,2480,1928
標準,2477,1536
挑戰,2475,1773
都有,2468,2187
臉書,2461,1594
國的,2458,1842
力量,2454,1496
過程,2452,1930
黨立,2445,1523
日起,2442,1878
華航,2440,562
保險,2439,823
多元,2437,1824
金管,2432,970
管會,2431,970
我國,2431,1243
利率,2429,1117
運動,2425,1190
主管,2418,1688
股東,2417,1109
打造,2413,1777
出的,2412,2120
國防,2409,967
新竹,2403,1282
投入,2398,1819
風險,2397,1495
的時,2397,1939
也將,2381,2084
階段,2380,1753
設備,2378,1413
的重,2378,2057
任何,2368,1854
將於,2367,2008
南亞,2364,1115
準備,2362,1891
之一,2360,2073
責任,2354,1609
新聞,2350,1555
財政,2349,986
表達,2343,1767
印尼,2330,717
回應,2325,1829
建築,2322,888
海面,2313,512
一年,2310,1756
有效,2307,1993
擁有,2297,1895
大會,2297,1332
不少,2296,1914
的經,2294,1847
改變,2292,1720
的機,2291,1862
主任,2291,1866
模式,2287,1594
數據,2283,1458
年前,2277,1845
會的,2273,1870
成本,2272,1500
能夠,2270,1745
最新,2267,1937
嘉義,2267,1196
當選,2263,1564
因應,2258,1835
樣的,2253,1847
法人,2251,1432
期待,2249,1753
年底,2248,1716
商機,2245,1528
第三,2243,1751
近年,2233,1906
關鍵,2223,1671
明顯,2216,1763
生技,2213,722
利用,2209,1735
知道,2205,1736
教授,2203,1436
品質,2203,1504
受訪,2203,1769
比較,2200,1693
鼓勵,2194,1668
改善,2189,1517
的政,2185,1649
勞工,2183,769
花蓮,2175,1261
國會,2173,1123
嚴重,2171,1707
的方,2170,1829
明天,2169,1346
印度,2168,685
關注,2165,1866
方向,2159,1746
近期,2158,1764
功能,2158,1423
土地,2151,1104
勞動,2150,823
能源,2147,853
會主,2147,1708
天氣,2146,1076
提高,2141,1705
萬人,2139,1410
場的,2137,1788
在地,2135,1606
創造,2134,1701
證券,2132,989
股市,2131,1378
到台,2130,1721
是在,2129,1873
陸續,2126,1850
達到,2117,1752
的大,2117,1808
的民,2116,1660
學習,2114,1254
執政,2111,1289
在國,2110,1805
有人,2106,1592
高達,2101,1709
選舉,2096,1162
朋友,2095,1371
旗下,2095,1594
年度,2095,1504
基本,2095,1498
都會,2094,1780
直接,2092,1694
尤其,2092,1854
官員,2079,1313
不斷,2078,1731
青年,2077,931
國國,2075,1578
意見,2071,1566
至今,2069,1817
符合,2069,1662
此次,2069,1611
歐洲,2067,1221
面臨,2064,1676
上漲,2064,1099
外界,2058,1642
研院,2056,689
主委,2056,1413
元的,2054,1664
制度,2053,1264
中的,2049,1790
的成,2040,1731
天在,2039,1918
的事,2038,1649
面板,2035,472
景氣,2034,1145
有關,2026,1699
商業,2025,1416
司法,2023,900
環保,2020,1024
辦理,2018,1407
南海,2014,638
原則,2007,1353
權益,2005,1400
包含,2005,1722
央行,2004,802
但是,2004,1633
家庭,2000,1217
機關,1999,1377
提到,1999,1556
亞太,1994,1098
作品,1993,824
一般,1990,1624
進口,1988,922
言人,1987,1706
機制,1987,1377
飯店,1986,872
業績,1985,1110
配合,1984,1679
主題,1982,1367
醫院,1981,912
資產,1981,1059
於台,1979,1809
作業,1979,1261
人數,1974,1327
營業,1973,1082
不到,1972,1672
金門,1971,1136
負責,1971,1552
太陽,1970,722
全面,1969,1562
黨團,1966,761
大幅,1966,1630
股價,1962,1086
措施,1962,1408
也可,1962,1739
一樣,1962,1655
聯網,1959,793
泰國,1958,746
高鐵,1957,576
行銷,1957,1214
音樂,1954,648
則是,1951,1687
事務,1949,1403
提醒,1948,1575
蘋果,1946,749
連續,1945,1525
對此,1945,1756
電腦,1944,1105
行的,1944,1674
加強,1940,1532
爭議,1939,1321
立場,1930,1334
協商,1928,1095
政黨,1925,1134
不可,1925,1618
越南,1922,698
天下,1921,1652
房屋,1920,643
晚間,1919,1544
富邦,1911,595
原本,1909,1631
月底,1908,1472
秘書,1904,1380
台大,1902,936
以下,1902,1119
一直,1902,1624
有的,1901,1620
來看,1896,1584
論壇,1892,1027
評估,1892,1338
帶來,1890,1589
是要,1888,1581
導致,1886,1583
辦公,1884,1324
議員,1882,968
分享,1882,1442
理事,1881,1325
的地,1877,1528
例如,1876,1609
法律,1875,1221
女性,1872,775
家的,1869,1558
部地,1863,679
考量,1860,1538
購買,1859,1276
用戶,1859,741
首度,1855,1565
北京,1844,919
下跌,1840,972
展現,1839,1505
互動,1838,1329
陸客,1837,628
宜蘭,1834,1220
保護,1831,1280
韓國,1830,997
日在,1825,1662
完全,1825,1480
建設,1824,1170
衛生,1821,960
台商,1821,727
歡迎,1820,1432
期貨,1817,516
快速,1815,1472
農業,1813,738
保障,1811,1188
聯盟,1810,1047
的產,1810,1388
屏東,1809,1178
各國,1806,1373
多年,1804,1577
夥伴,1801,1239
呈現,1801,1468
系列,1800,1158
就會,1800,1505
爭取,1798,1397
會今,1798,1590
感謝,1798,1304
生的,1795,1490
與國,1793,1446
中市,1791,1232
最低,1788,1421
的主,1787,1570
重視,1784,1512
相對,1783,1442
引發,1780,1552
實際,1777,1524
強化,1771,1391
隨著,1763,1541
布局,1759,1213
知名,1757,1449
的資,1752,1413
多人,1750,1481
購物,1749,805
網站,1748,1302
是不,1746,1474
退休,1742,645
重大,1731,1403
新高,1727,1144
南市,1727,1198
經過,1726,1539
主張,1725,1109
長陳,1724,1517
日月,1724,384
態度,1723,1366
九二,1722,705
統一,1721,788
國外,1720,1339
的發,1718,1449
協議,1718,921
創業,1718,705
天上,1717,1528
股票,1715,832
多的,1711,1494
汽車,1710,792
專案,1710,1137
民間,1708,1194
降低,1700,1401
通路,1697,988
相信,1697,1401
安排,1697,1331
金控,1689,724
確定,1689,1380
年第,1689,1216
住民,1686,556
同期,1685,944
精神,1684,1222
紀錄,1680,1182
因素,1676,1342
程序,1672,1179
已有,1672,1538
南向,1671,665
的關,1668,1413
修正,1667,1078
族群,1666,1111
台電,1664,479
另一,1663,1521
雨區,1659,225
局長,1655,1189
們的,1654,1213
中信,1654,483
出來,1653,1342
機率,1650,1319
業界,1649,1209
大型,1645,1255
會員,1644,867
展開,1644,1431
優勢,1644,1275
其實,1643,1370
清楚,1640,1311
東縣,1639,868
啟動,1638,1346
貢獻,1636,1240
具有,1631,1418
重新,1628,1287
有限,1628,1267
科學,1625,911
百貨,1624,607
有很,1624,1359
即將,1623,1482
指標,1622,1082
壓力,1622,1249
定的,1618,1428
力的,1618,1417
孩子,1616,644
旅行,1615,804
就職,1615,830
願意,1613,1280
人口,1612,955
事情,1611,1227
彰化,1607,1052
間的,1605,1419
法規,1603,1091
公共,1601,1029
避免,1600,1341
會在,1599,1438
捷運,1598,621
同意,1596,1162
訪問,1594,1171
年增,1593,986
人壽,1593,464
公平,1592,866
肯定,1589,1262
行為,1588,1140
他的,1587,1248
發行,1584,787
就業,1584,900
推廣,1583,1186
專家,1582,1152
質疑,1581,1179
逐漸,1580,1325
合併,1579,786
條件,1576,1213
就可,1574,1333
對外,1574,1272
致詞,1573,1252
海峽,1569,835
後續,1567,1283
化的,1567,1355
事會,1567,947
訊息,1566,1196
收購,1566,495
年同,1564,898
並不,1564,1387
而是,1558,1368
性的,1557,1344
成的,1556,1374
審查,1556,942
附近,1555,1322
幫助,1555,1238
尊重,1554,1152
園區,1554,849
再度,1553,1336
下半,1549,1012
典禮,1547,1114
之間,1547,1254
促進,1544,1249
上任,1544,1196
要有,1543,1278
或是,1543,1351
領導,1542,1114
在這,1542,1326
讓台,1540,1322
的生,1540,1278
月光,1539,299
內政,1538,859
開幕,1536,1067
人次,1534,794
公告,1533,1112
來說,1533,1295
順利,1532,1285
重點,1531,1318
自行,1528,962
抗議,1528,863
中小,1527,856
突破,1526,1274
原因,1521,1306
雲林,1520,971
預報,1516,875
的情,1516,1322
公里,1516,915
運用,1514,1205
商務,1512,848
仍有,1512,1340
長的,1506,1332
機器,1506,556
是國,1506,1326
首次,1502,1285
在中,1502,1291
午後,1501,430
國泰,1500,639
之前,1499,1363
人力,1498,930
紀念,1497,738
書長,1497,1066
成果,1497,1196
預算,1492,785
結束,1492,1283
完整,1492,1251
學院,1492,880
都不,1491,1340
外匯,1489,879
北風,1489,355
及台,1483,1363
在大,1481,1201
合國,1480,861
起至,1479,1283
住宅,1479,615
主辦,1478,1082
山區,1476,828
展的,1476,1231
日至,1473,1188
衝擊,1471,1163
容易,1470,1223
區的,1469,1213
相較,1468,1226
分行,1466,443
作的,1466,1280
產生,1465,1206
澎湖,1464,1055
創意,1464,904
台東,1461,695
工會,1460,462
進步,1459,1168
利益,1459,993
信用,1458,657
堅持,1456,1049
掌握,1455,1200
免費,1454,928
起來,1450,1238
業發,1450,1097
的高,1447,1276
行程,1442,956
的中,1442,1261
與中,1441,1161
特色,1441,1119
展出,1441,887
設立,1440,1096
參考,1439,1307
者的,1437,1215
事實,1435,1099
咖啡,1434,425
資本,1431,897
正常,1430,1017
美食,1429,714
的行,1421,1218
永續,1421,780
怎麼,1421,1137
全力,1421,1148
會中,1420,1202
實施,1420,1000
信心,1420,1073
通訊,1419,916
開盤,1418,1109
至少,1417,1197
訓練,1414,897
最多,1414,1145
長榮,1413,398
這項,1413,1157
多數,1413,1195
分鐘,1413,983
達成,1411,1140
值得,1410,1275
聲明,1409,832
結構,1409,1031
的公,1409,1160
落實,1408,1121
海洋,1408,631
下一,1404,1172
他也,1402,1238
後的,1399,1260
巨蛋,1398,332
年以,1396,1134
照顧,1395,815
登場,1393,1203
便利,1392,969
氣溫,1391,984
裝置,1390,838
的第,1390,1221
覺得,1383,1083
一些,1381,1138
三星,1380,459
出貨,1376,574
長張,1374,1214
變化,1374,1142
矽品,1372,221
權證,1372,169
陸委,1371,540
等人,1371,1196
電影,1370,616
要是,1370,1254
畢業,1370,799
川普,1370,354
目的,1369,1204
擔心,1366,1147
最佳,1365,971
學者,1365,971
動的,1363,1234
條例,1362,729
上海,1362,697
遠雄,1361,260
的最,1361,1226
兆豐,1361,377
不只,1359,1220
連結,1358,884
而且,1357,1166
紐約,1357,617
大選,1356,930
之外,1355,1217
有不,1354,1227
維護,1353,1027
各種,1353,1167
也要,1352,1187
詢問,1351,1142
大廠,1350,993
搭配,1349,1065
達電,1346,495
作收,1346,521
漲幅,1343,774
的不,1342,1183
現金,1341,802
下來,1341,1197
不足,1340,1032
線上,1335,829
網友,1335,591
累積,1335,1043
台鐵,1331,379
高的,1329,1184
在全,1328,1156
反對,1325,871
中午,1324,1074
內部,1321,1034
每股,1320,775
成員,1319,1000
高度,1318,1101
部門,1318,973
獨立,1316,899
主持,1316,1109
修法,1315,672
小組,1312,830
會上,1311,1159
工廠,1311,756
仲裁,1310,346
表演,1309,813
年台,1308,1100
會長,1307,824
國政,1307,922
風力,1306,312
自然,1306,974
航線,1305,482
的影,1303,1111
檢討,1303,935
用的,1302,1127
左右,1302,1145
三大,1302,1073
簽署,1301,814
更是,1301,1176
她說,1301,958
高溫,1298,585
府的,1298,1082
老師,1297,664
動物,1296,457
個國,1295,1005
費用,1294,869
真的,1294,1049
看好,1294,1021
的工,1294,1065
位於,1294,1091
門市,1293,568
復興,1293,474
公會,1293,697
新興,1292,799
必要,1292,1098
工具,1292,832
將會,1292,1128
自動,1289,752
同的,1289,1077
市的,1288,1039
各界,1288,1071
的基,1283,1054
午在,1283,1238
航班,1282,570
東京,1282,674
匯率,1282,703
有些,1281,1044
決議,1280,822
漁業,1278,403
西亞,1276,757
概念,1275,980
部會,1273,873
補助,1272,651
德國,1272,760
長李,1270,1147
官方,1270,958
投票,1268,591
生態,1267,741
比例,1266,940
是全,1264,1133
創作,1263,616
年金,1261,451
身分,1260,901
的電,1258,987
角色,1257,1022
民的,1257,1002
前總,1257,914
幾乎,1256,1132
向政,1255,628
定要,1252,1041
餐飲,1251,605
關心,1251,1010
展望,1251,955
這種,1248,1040
主權,1247,669
限制,1245,911
範圍,1245,1020
很大,1245,1090
感受,1244,1043
日圓,1239,459
大樓,1239,691
辦的,1238,1121
治療,1238,522
排名,1238,685
經貿,1237,751
法國,1237,655
有更,1237,1088
課程,1236,626
最近,1235,1090
南韓,1233,714
各項,1232,1038
正在,1229,1086
降雨,1228,876
共有,1225,1104
世代,1224,805
黨產,1223,281
有助,1222,1078
就有,1222,1114
每個,1221,1030
正義,1221,634
前已,1221,1140
一天,1221,1004
是因,1220,1106
基隆,1220,927
電話,1219,851
浩鼎,1219,279
透露,1217,1047
醫學,1216,624
交所,1215,652
信託,1214,465
的學,1212,876
時候,1212,990
引進,1211,896
也說,1211,1101
辦法,1210,1005
發揮,1210,1054
是有,1209,1081
兩個,1205,1045
演出,1203,567
預測,1201,801
醫師,1201,539
立即,1199,997
承諾,1199,897
大浪,1196,137
產能,1195,552
東協,1195,481
公益,1195,544
思考,1194,951
消息,1193,939
也在,1193,1130
展覽,1191,684
唯一,1191,1030
出發,1191,906
主動,1191,950
訪時,1189,1065
一位,1188,976
財務,1185,834
房價,1185,431
藉由,1182,1080
考慮,1182,959
有意,1182,1011
發電,1181,447
在美,1181,940
是中,1180,1019
收入,1180,682
將有,1180,1037
台新,1180,393
為國,1179,1067
核心,1179,955
最重,1179,1047
部海,1178,439
社區,1177,600
意外,1177,826
上半,1177,771
傳出,1176,987
行業,1175,777
前的,1175,1083
一度,1175,971
納入,1174,841
下的,1173,1055
海域,1170,564
收盤,1170,894
大量,1170,986
管制,1169,675
一家,1169,947
餐廳,1168,576
時也,1168,1097
得到,1168,1009
同步,1168,1014
加速,1168,912
高中,1167,582
教師,1166,422
採購,1166,670
天開,1166,1036
軟體,1163,636
規範,1163,837
電商,1161,378
程中,1161,1004
中浪,1160,129
一名,1160,913
困難,1159,950
內外,1159,975
協定,1158,603
動產,1158,632
恢復,1157,818
代理,1157,719
確保,1156,939
來到,1156,949
這麼,1155,967
變成,1155,951
興航,1155,241
會表,1155,939
機械,1153,530
面的,1152,1027
望能,1151,1022
是最,1151,1033
給予,1150,1002
務部,1150,612
車站,1148,559
新創,1148,497
元大,1146,589
只能,1145,1007
還要,1144,1027
水準,1143,944
苗栗,1142,815
採取,1141,956
警方,1135,510
屬於,1135,987
都在,1134,1047
房市,1134,442
人事,1134,738
項目,1129,885
製作,1129,742
每天,1125,875
半部,1125,551
訂單,1124,658
的意,1124,995
薪資,1123,560
批評,1123,879
與會,1122,876
南風,1121,352
校長,1119,686
品的,1118,925
都可,1117,1000
在新,1117,983
時的,1116,1003
總裁,1114,819
地的,1114,983
年成,1112,906
對話,1111,683
而言,1110,971
大眾,1108,873
最好,1107,948
提案,1107,608
依據,1107,959
意義,1106,923
動能,1106,869
位置,1106,998
列車,1105,431
並未,1105,976
當然,1104,925
確實,1103,963
如此,1102,990
即使,1101,978
才會,1100,980
有利,1099,888
國總,1099,821
任務,1098,720
南投,1097,864
不動,1097,581
度的,1095,990
優先,1094,819
上台,1094,968
損失,1093,659
本的,1091,934
國立,1091,672
的投,1090,841
即可,1088,915
的目,1087,939
天的,1087,976
絕對,1086,917
基地,1086,660
歐盟,1084,463
在立,1084,957
股權,1083,562
意願,1083,847
後來,1082,908
幾年,1082,947
真正,1081,884
用電,1081,493
同仁,1080,664
升級,1080,742
公尺,1078,654
在今,1077,1005
全新,1077,834
拓展,1074,894
內的,1074,945
衰退,1073,601
這一,1072,899
能在,1072,983
攜手,1072,899
的原,1071,971
生命,1071,755
情形,1071,919
專利,1071,327
發出,1069,889
廣告,1069,432
做出,1069,908
演講,1064,717
截至,1063,932
能有,1062,980
演說,1062,585
更有,1062,963
心的,1061,960
效率,1058,784
幅度,1058,816
同樣,1058,968
設置,1057,772
操作,1057,779
兒童,1057,467
程度,1056,885
點作,1054,267
跌幅,1054,578
持有,1054,713
名單,1054,691
確認,1052,825
質詢,1050,739
尚未,1050,929
也能,1049,945
談判,1048,541
比重,1047,713
正面,1047,875
影片,1047,563
就能,1047,901
顧問,1045,765
看法,1045,892
人都,1044,934
處長,1042,853
協調,1042,754
成績,1041,773
具體,1041,836
累計,1040,797
是很,1040,917
名的,1040,902
及國,1037,918
別是,1037,934
雲端,1035,487
的合,1035,862
的交,1035,848
報名,1035,584
創下,1034,864
認同,1033,768
排除,1033,861
一點,1032,863
解釋,1029,888
一中,1029,457
學術,1021,577
不但,1020,907
的立,1018,827
短期,1017,826
來將,1017,924
遊客,1016,528
反應,1016,795
副主,1015,769
玉山,1014,318
數量,1014,757
大多,1014,893
合理,1014,774
不一,1014,890
運輸,1013,628
根本,1013,836
意的,1013,933
信義,1013,528
像是,1012,881
後一,1010,861
豐富,1009,868
虛擬,1009,483
的美,1009,866
行車,1008,458
所得,1008,508
不得,1008,795
參觀,1006,737
詐騙,1005,372
是為,1005,882
設施,1004,651
引起,1004,878
台日,1004,412
受惠,1004,796
犯罪,1003,469
全年,1001,714
統的,999,843
博物,996,399
到的,996,885
做好,996,822
周邊,995,735
適合,994,832
整個,994,855
併購,994,452
認證,993,554
運作,992,806
國軍,992,398
中山,992,537
及東,991,546
與大,990,828
人在,990,866
違反,988,694
動支,988,329
一代,987,704
臨時,986,707
方法,986,790
展示,986,694
的優,985,845
涉及,984,788
於今,984,920
帶領,984,843
先前,984,872
臨床,983,349
監督,982,727
大使,982,624
採用,981,776
集中,980,770
效果,979,796
如今,979,859
年起,978,856
是以,977,890
感到,977,812
升息,977,519
創辦,976,751
令人,976,863
院院,975,743
速度,975,779
的兩,975,787
的作,975,796
上班,975,594
月的,972,830
控制,972,676
公路,972,430
案件,971,648
公園,971,512
人權,971,591
年內,970,776
不知,970,840
經費,969,635
在一,969,854
新藥,968,289
天舉,968,931
的旅,967,677
不應,964,785
地位,962,794
百分,961,634
當天,961,754
實驗,961,550
是大,960,873
兩年,960,810
開出,959,596
會後,959,876
讓人,958,833
存在,957,769
不滿,957,696
故事,956,629
國安,955,500
距離,954,800
草案,954,501
將是,954,847
也提,954,905
組成,952,804
的商,951,797
續發,950,765
的專,950,811
期的,950,863
年在,950,843
高階,949,631
脫歐,949,384
會與,949,851
晚上,948,756
發的,947,821
回台,947,707
稅後,946,479
陸方,945,486
為全,945,834
大雨,945,538
支援,944,693
並非,944,849
盤中,940,603
為何,940,782
春節,940,543
年全,940,774
家人,940,674
遠傳,939,277
民意,938,606
下降,937,703
造業,936,461
日上,936,827
福利,935,700
滿意,935,466
務的,934,831
法務,933,446
弱勢,933,590
增強,933,489
理念,932,743
的市,930,790
漁船,930,351
民調,930,450
抵達,930,707
親自,929,820
為例,929,849
區及,928,608
扮演,927,790
明確,924,797
不再,924,810
下滑,924,674
辦事,923,582
文創,923,471
當年,921,707
每一,921,732
和台,921,790
這也,919,858
貨幣,919,550
樂觀,919,734
投信,919,426
再次,919,817
全部,919,794
還沒,917,810
玩家,917,298
物館,915,366
搭乘,915,639
外國,915,653
喜歡,915,735
但他,915,831
對國,914,776
回到,914,805
聯繫,913,721
生物,913,507
新光,913,361
可達,913,660
郭台,912,279
有所,912,810
證明,911,699
對中,911,760
中南,911,642
次長,910,730
有多,910,841
今晚,910,717
輔導,909,588
行情,909,570
的創,909,729
馬祖,908,471
近日,907,800
更好,907,765
找到,907,752
契約,907,530
現有,906,802
南台,906,650
回饋,905,536
接近,904,773
多次,904,816
凌晨,904,725
個股,904,482
證交,903,448
的小,902,732
收到,902,646
